report_date,metric,value,trailing_median_28d,trailing_mad_28d,prior_same_weekday_median_8,prior_same_weekday_mad_8,trailing_robust_score,weekday_robust_score,robust_score,is_flagged,method
2013-09-01,total_redeem_amt,59339949.0,26147365.5,6533054.5,7973588.0,5240869.0,3.4268948550643965,6.610761658503382,6.610761658503382,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-09-02,total_purchase_amt,140844739.0,45935173.5,7745531.5,55385171.0,13344621.5,8.264845984512316,4.319469752278979,8.264845984512316,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-09-03,total_purchase_amt,80507880.0,47060492.5,8667548.5,49671883.0,3097133.0,2.6028067564182624,6.715434899227128,6.715434899227128,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-09-09,total_redeem_amt,45621186.0,26566461.5,6990920.5,18871815.5,2420239.5,1.8384182168317158,7.454718107057517,7.454718107057517,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-09-10,total_purchase_amt,94684143.0,45935173.5,7745531.5,50744515.5,3097133.0,4.245122424685301,9.569131426901489,9.569131426901489,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-09-16,total_purchase_amt,161656210.0,47586984.5,9555474.0,64004308.5,21963759.0,8.051786707849553,2.9988175160303236,8.051786707849553,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-09-22,new_users,13.0,25.0,3.0,25.0,1.0,2.697963037906381,8.093889113719143,8.093889113719143,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-06,new_users,37.0,25.0,4.0,25.5,1.0,2.023472278429786,7.7566437339808445,7.7566437339808445,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-13,new_users,67.0,25.5,3.5,25.5,2.5,7.997533290936771,11.19654660731148,11.19654660731148,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-14,new_users,62.0,26.5,3.5,27.0,5.0,6.841263417548323,4.721435316336167,6.841263417548323,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-15,new_users,71.0,26.5,3.5,28.0,4.0,8.575668227630995,7.250775664373398,8.575668227630995,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-16,new_users,65.0,26.5,4.0,26.5,2.5,6.491973559962229,10.387157695939566,10.387157695939566,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-17,new_users,121.0,27.5,4.5,26.0,5.0,14.014419113569256,12.815324430055309,14.014419113569256,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-18,new_users,82.0,28.5,5.0,26.5,3.5,7.217051126399569,10.695496328843152,10.695496328843152,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-19,new_users,88.0,29.0,7.0,22.5,6.0,5.684993544159874,7.363190790952831,7.363190790952831,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-20,new_users,97.0,29.0,8.0,27.0,5.5,5.73317145555106,8.584427847883939,8.584427847883939,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-21,new_users,88.0,29.0,8.0,30.5,5.5,4.97436935113989,7.05149430361895,7.05149430361895,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-22,new_users,89.0,30.0,9.0,28.0,4.0,4.42166164545768,10.285984082018077,10.285984082018077,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
2013-10-29,new_users,71.0,47.0,20.5,28.0,4.0,0.7896477184116236,7.250775664373398,7.250775664373398,True,"max(prior-only 28d, prior same-weekday 8-point median/MAD); threshold > 6"
