report_date,users,new_users,total_purchase_amt,total_redeem_amt
2013-07-01,441,441,32488348,5525022
2013-07-02,480,67,29037390,2554548
2013-07-03,499,60,27270770,5953867
2013-07-04,523,54,18321185,6410729
2013-07-05,544,51,11648749,2763587
2013-07-06,553,41,36751272,1616635
2013-07-07,566,37,8962232,3982735
2013-07-08,580,31,57258266,8347729
2013-07-09,614,50,26798941,3473059
2013-07-10,619,38,30696506,2597169
2013-07-11,658,48,44075197,3508800
2013-07-12,677,41,34183904,8492573
2013-07-13,694,45,15164717,3482829
2013-07-14,697,34,22615303,2784107
2013-07-15,714,32,48128555,13107943
2013-07-16,739,43,50622847,11864981
2013-07-17,765,52,29015682,10911513
2013-07-18,772,33,24234505,11765356
2013-07-19,788,33,33680124,9244769
2013-07-20,810,31,20439079,4601143
2013-07-21,817,23,21142394,2681331
2013-07-22,840,32,40448896,19144267
2013-07-23,869,41,58136147,24404051
2013-07-24,885,35,48422518,36258592
2013-07-25,906,34,57433418,38212836
2013-07-26,925,36,44721817,39192369
2013-07-27,918,18,17194451,15058893
2013-07-28,936,25,36255382,7683211
2013-07-29,952,37,53512076,18599364
2013-07-30,970,31,47481243,13048582
2013-07-31,977,26,54569637,9534040
2013-08-01,990,29,53369962,18864468
2013-08-02,1011,35,38064536,40150769
2013-08-03,1011,24,21595789,20701797
2013-08-04,1027,24,45745254,8263965
2013-08-05,1045,28,43632203,15797507
2013-08-06,1061,26,50866184,16401387
2013-08-07,1084,34,43908081,29708706
2013-08-08,1095,32,44493490,29551691
2013-08-09,1102,35,33425186,30131015
2013-08-10,1104,22,20615307,26614408
2013-08-11,1117,26,55519543,15372680
2013-08-12,1135,24,94520502,28586669
2013-08-13,1158,31,48720919,28790328
2013-08-14,1167,29,30541167,15031683
2013-08-15,1174,29,42421222,52659327
2013-08-16,1180,27,41683536,33739844
2013-08-17,1183,16,17670519,4674983
2013-08-18,1203,26,59703092,15218300
2013-08-19,1202,20,109184209,28339260
2013-08-20,1226,35,53675509,30131225
2013-08-21,1224,26,38184446,29983342
2013-08-22,1251,36,89130737,25000672
2013-08-23,1266,32,37878575,25680323
2013-08-24,1261,16,44367268,14316598
2013-08-25,1276,24,43306288,18117808
2013-08-26,1294,25,74496541,20637986
2013-08-27,1310,35,45268028,60137633
2013-08-28,1321,28,46602319,33696861
2013-08-29,1338,31,47518666,35944968
2013-08-30,1347,28,56488844,20630752
2013-08-31,1366,30,47655303,22012016
2013-09-01,1381,35,56239802,59339949
2013-09-02,1410,45,140844739,17785524
2013-09-03,1412,24,80507880,39328144
2013-09-04,1419,27,33366708,27452600
2013-09-05,1429,27,38716505,21800904
2013-09-06,1440,25,38923186,33417903
2013-09-07,1445,22,34076183,20344424
2013-09-08,1456,25,38796909,14919122
2013-09-09,1478,32,49312473,45621186
2013-09-10,1484,24,94684143,37128363
2013-09-11,1505,31,98944459,71674082
2013-09-12,1513,21,68573684,45147220
2013-09-13,1514,20,71655946,60512675
2013-09-14,1516,14,30975443,36312660
2013-09-15,1534,25,37059683,25020715
2013-09-16,1559,32,161656210,45184589
2013-09-17,1569,27,76204815,58260798
2013-09-18,1569,23,42926608,47203221
2013-09-19,1567,14,24778048,11418512
2013-09-20,1584,24,28365762,15188254
2013-09-21,1587,23,32406340,26596179
2013-09-22,1592,13,67514169,47962055
2013-09-23,1616,29,54658160,58285879
2013-09-24,1637,29,74250859,56680792
2013-09-25,1639,29,47274168,74838162
2013-09-26,1646,25,68718693,48467529
2013-09-27,1660,31,42166121,27639603
2013-09-28,1668,28,39995798,58105720
2013-09-29,1680,29,34433848,40295202
2013-09-30,1685,25,28398050,30181353
2013-10-01,1696,32,19137499,12813267
2013-10-02,1698,21,11562708,7233874
2013-10-03,1704,16,10101194,6223263
2013-10-04,1715,25,19907689,23412350
2013-10-05,1718,21,26364686,13966453
2013-10-06,1744,37,38730653,13464528
2013-10-07,1744,21,42797733,28894400
