report_date,rows,purchase_zero_rate,redeem_zero_rate,purchase_daily_max,redeem_daily_max,users,new_users,total_purchase_amt,total_redeem_amt,top_user_purchase_share,top_user_redeem_share
2013-07-01,441,0.30158730158730157,0.9024943310657596,6726718,953480,441,441,32488348,5525022,0.20705017072582454,0.1725748784348732
2013-07-02,480,0.31666666666666665,0.9291666666666667,7149501,941503,480,67,29037390,2554548,0.24621706702978471,0.3685595259905079
2013-07-03,499,0.2545090180360721,0.935871743486974,4800593,2675011,499,60,27270770,5953867,0.17603437673377026,0.44928968013561604
2013-07-04,523,0.23709369024856597,0.9082217973231358,1988144,1988820,523,54,18321185,6410729,0.10851612491222593,0.3102330483787413
2013-07-05,544,0.23345588235294118,0.9283088235294118,1955408,409846,544,51,11648749,2763587,0.16786420584734035,0.1483021884239577
2013-07-06,553,0.23508137432188064,0.945750452079566,18892818,889205,553,41,36751272,1616635,0.5140724925112796,0.550034485211566
2013-07-07,566,0.254416961130742,0.9240282685512368,1089574,2961703,566,37,8962232,3982735,0.12157395613057105,0.7436354665826374
2013-07-08,580,0.27413793103448275,0.906896551724138,14538502,5841047,580,31,57258266,8347729,0.25391097243496685,0.699716893061574
2013-07-09,614,0.25732899022801303,0.9087947882736156,5418399,1020079,614,50,26798941,3473059,0.2021870565706309,0.2937119697649824
2013-07-10,619,0.210016155088853,0.9192245557350566,8115542,495109,619,38,30696506,2597169,0.2643799916511671,0.19063410967865396
2013-07-11,658,0.21732522796352582,0.9179331306990881,13832262,601072,658,48,44075197,3508800,0.3138332427646325,0.17130414956680345
2013-07-12,677,0.23485967503692762,0.9054652880354506,9959747,3499365,677,41,34183904,8492573,0.2913577981028732,0.4120500347774461
2013-07-13,694,0.22478386167146974,0.9337175792507204,3054936,994914,694,45,15164717,3482829,0.20145024796704086,0.28566260359035717
2013-07-14,697,0.24103299856527977,0.9325681492109039,5366101,1024689,697,34,22615303,2784107,0.23727743112705588,0.36804943200818074
2013-07-15,714,0.2549019607843137,0.896358543417367,5860771,5599146,714,32,48128555,13107943,0.12177325913898723,0.42715672474315763
2013-07-16,739,0.2530446549391069,0.9201623815967523,10783149,8082276,739,43,50622847,11864981,0.21300953302764658,0.6811874372154494
2013-07-17,765,0.23006535947712417,0.918954248366013,5215572,4931940,765,52,29015682,10911513,0.1797501089238571,0.4519941459997344
2013-07-18,772,0.2189119170984456,0.9158031088082902,2453653,3653847,772,33,24234505,11765356,0.10124626023927454,0.3105598334636028
2013-07-19,788,0.20812182741116753,0.8972081218274112,8057787,4054971,788,33,33680124,9244769,0.239244576415455,0.43862329064144273
2013-07-20,810,0.21851851851851853,0.9234567901234568,6103412,787633,810,31,20439079,4601143,0.2986148250613445,0.17118203020423403
2013-07-21,817,0.2350061199510404,0.9228886168910648,2569703,503448,817,23,21142394,2681331,0.1215426691981996,0.18776048164139378
2013-07-22,840,0.24047619047619048,0.9130952380952381,5060049,4841161,840,32,40448896,19144267,0.12509733269357956,0.25287784588461915
2013-07-23,869,0.25776754890678943,0.9171461449942463,9131621,4900008,869,41,58136147,24404051,0.15707303409701368,0.20078666447631993
2013-07-24,885,0.2214689265536723,0.9005649717514125,20195826,14649998,885,35,48422518,36258592,0.41707508890801587,0.4040421095226202
2013-07-25,906,0.2240618101545254,0.891832229580574,14672586,6447729,906,34,57433418,38212836,0.2554712310522769,0.16873201978518423
2013-07-26,925,0.23459459459459459,0.9135135135135135,9974970,25216887,925,36,44721817,39192369,0.22304482843351378,0.6434131858678918
2013-07-27,918,0.2298474945533769,0.9172113289760349,3258873,2973467,918,18,17194451,15058893,0.1895305060917618,0.19745588204923165
2013-07-28,936,0.23504273504273504,0.9230769230769231,13704034,2455442,936,25,36255382,7683211,0.37798619802157923,0.3195853920971323
2013-07-29,952,0.24789915966386555,0.9159663865546218,9857541,5862698,952,37,53512076,18599364,0.1842115226477104,0.31520959533885134
2013-07-30,970,0.2515463917525773,0.9185567010309278,5604373,6074638,970,31,47481243,13048582,0.11803340952973788,0.4655400870378099
2013-07-31,977,0.218014329580348,0.9058341862845445,6987613,1608301,977,26,54569637,9534040,0.12804946824183566,0.1686903977747104
2013-08-01,990,0.22626262626262628,0.9131313131313131,5113248,6158768,990,29,53369962,18864468,0.09580760053754582,0.32647451282485146
2013-08-02,1011,0.2265084075173096,0.8981206726013847,4997755,10193022,1011,35,38064536,40150769,0.13129688484840588,0.2538686618928768
2013-08-03,1011,0.2304648862512364,0.9228486646884273,4053308,9780531,1011,24,21595789,20701797,0.18768973895790517,0.47244840629052637
2013-08-04,1027,0.24634858812074,0.9250243427458618,11313610,2848024,1027,24,45745254,8263965,0.2473176780262276,0.34463166288821406
2013-08-05,1045,0.25645933014354066,0.9062200956937799,9338110,5638542,1045,28,43632203,15797507,0.2140187604095993,0.35692606434673524
2013-08-06,1061,0.2544769085768143,0.9038642789820923,11881333,3924763,1061,26,50866184,16401387,0.2335801915079771,0.23929457917187125
2013-08-07,1084,0.2333948339483395,0.9059040590405905,5837094,17713825,1084,34,43908081,29708706,0.13293894579451104,0.5962503045403593
2013-08-08,1095,0.2410958904109589,0.9123287671232877,9965631,8121850,1095,32,44493490,29551691,0.22397953048861755,0.27483537236498584
2013-08-09,1102,0.23865698729582577,0.9074410163339383,4909880,5097779,1102,35,33425186,30131015,0.14689162836670527,0.1691870984100602
2013-08-10,1104,0.2427536231884058,0.9411231884057971,4974147,5117554,1104,22,20615307,26614408,0.24128415841685016,0.19228509610283273
2013-08-11,1117,0.24440465532676814,0.9256938227394808,10198656,4883704,1117,26,55519543,15372680,0.18369488379974597,0.31768722174663105
2013-08-12,1135,0.252863436123348,0.9259911894273127,19313876,9376381,1135,24,94520502,28586669,0.204335309179801,0.3279983757464012
2013-08-13,1158,0.25215889464594127,0.9179620034542314,5264562,14100247,1158,31,48720919,28790328,0.1080554740767513,0.4897563862419351
2013-08-14,1167,0.23564695801199656,0.908311910882605,3472988,2977177,1167,29,30541167,15031683,0.1137149736288728,0.1980601240726005
2013-08-15,1174,0.23339011925042588,0.9131175468483816,7789993,10063218,1174,29,42421222,52659327,0.1836343375492578,0.19110039138935445
2013-08-16,1180,0.22542372881355932,0.9110169491525424,5048105,10169929,1180,27,41683536,33739844,0.12110548874740378,0.30142193307117837
2013-08-17,1183,0.2231614539306847,0.9340659340659341,1025039,394324,1183,16,17670519,4674983,0.058008426351257705,0.08434768639800401
2013-08-18,1203,0.23607647547797173,0.9260182876142976,20382219,5275631,1203,26,59703092,15218300,0.34139302198954785,0.3466636220865668
2013-08-19,1202,0.2420965058236273,0.9168053244592346,45028426,9151118,1202,20,109184209,28339260,0.41240786018791414,0.3229130894737548
2013-08-20,1226,0.24714518760195758,0.9135399673735726,10205583,10125463,1226,35,53675509,30131225,0.19013481548912745,0.33604551424643375
2013-08-21,1224,0.2238562091503268,0.923202614379085,4993844,12576078,1224,26,38184446,29983342,0.13078215145507152,0.4194354985511622
2013-08-22,1251,0.21982414068745004,0.9160671462829736,43977860,9913842,1251,36,89130737,25000672,0.4934084635696438,0.39654302092359756
2013-08-23,1266,0.2330173775671406,0.9044233807266983,4922194,4785479,1266,32,37878575,25680323,0.12994665190018367,0.1863480844847629
2013-08-24,1261,0.22759714512291832,0.9238699444885012,7325541,3072546,1261,16,44367268,14316598,0.1651113834640438,0.21461425402878534
2013-08-25,1276,0.2358934169278997,0.9341692789968652,8008094,4176766,1276,24,43306288,18117808,0.18491758056012558,0.23053373785614684
2013-08-26,1294,0.24574961360123648,0.9034003091190108,9785748,5064888,1294,25,74496541,20637986,0.1313584210574287,0.24541580753083173
2013-08-27,1310,0.2435114503816794,0.9137404580152672,7406852,42907760,1310,35,45268028,60137633,0.16362214850622608,0.713492664402006
2013-08-28,1321,0.22785768357305072,0.906888720666162,10741702,20403192,1321,28,46602319,33696861,0.23049715616083397,0.6054923632204199
