metric,group,user_count,amount,share
purchase_total,top_1_user,1,811225952,0.008761383080537132
purchase_total,top_10_users,10,4276672745,0.04618881846254999
purchase_total,top_0_1_percent_users,29,8206586416,0.08863257788639911
purchase_total,top_1_percent_users,281,30205283933,0.3262223834690711
purchase_total,top_5_percent_users,1403,62392935762,0.6738546891683107
purchase_total,top_10_percent_users,2805,78321393773,0.8458848395506564
redeem_total,top_1_user,1,710187572,0.009766284356648478
redeem_total,top_10_users,10,3774444718,0.05190502038866695
redeem_total,top_0_1_percent_users,29,7373829062,0.10140266354423126
redeem_total,top_1_percent_users,281,26685061830,0.3669648867166129
redeem_total,top_5_percent_users,1403,52626293709,0.7237008492716835
redeem_total,top_10_percent_users,2805,64010761978,0.880256608268119
