feature,components,target,eta_squared,effect_label,raw_groups,groups_after_min_50_pooling,minimum_group_users,analysis_grain
sex_x_city,sex+city,total_purchase_amt,0.017801293918759904,small,14,14,50,user
sex_x_city,sex+city,direct_purchase_amt,0.017797134726159267,small,14,14,50,user
sex_x_city,sex+city,purchase_bal_amt,0.015810361809023506,small,14,14,50,user
sex_x_city,sex+city,purchase_bank_amt,0.01494588905745603,small,14,14,50,user
sex_x_city,sex+city,share_amt,0.0214280255118645,small,14,14,50,user
sex_x_city,sex+city,total_redeem_amt,0.01606933038873263,small,14,14,50,user
sex_x_city,sex+city,consume_amt,0.017607659431010163,small,14,14,50,user
sex_x_city,sex+city,transfer_amt,0.012766227723103951,small,14,14,50,user
sex_x_city,sex+city,tftobal_amt,0.008626697546544708,weak,14,14,50,user
sex_x_city,sex+city,tftocard_amt,0.011843567409029086,small,14,14,50,user
sex_x_city,sex+city,tBalance,0.01880393754018276,small,14,14,50,user
sex_x_city,sex+city,yBalance,0.018833018871939736,small,14,14,50,user
sex_x_constellation,sex+constellation,total_purchase_amt,0.0010837980044677684,weak,24,24,50,user
sex_x_constellation,sex+constellation,direct_purchase_amt,0.0010838307341038491,weak,24,24,50,user
sex_x_constellation,sex+constellation,purchase_bal_amt,0.0008558096327610824,negligible,24,24,50,user
sex_x_constellation,sex+constellation,purchase_bank_amt,0.0009582652871377252,negligible,24,24,50,user
sex_x_constellation,sex+constellation,share_amt,0.0013184829355096352,weak,24,24,50,user
sex_x_constellation,sex+constellation,total_redeem_amt,0.0012311611011368373,weak,24,24,50,user
sex_x_constellation,sex+constellation,consume_amt,0.0009653783747467686,negligible,24,24,50,user
sex_x_constellation,sex+constellation,transfer_amt,0.0017286296314546995,weak,24,24,50,user
sex_x_constellation,sex+constellation,tftobal_amt,0.001685573713403661,weak,24,24,50,user
sex_x_constellation,sex+constellation,tftocard_amt,0.001354440516998082,weak,24,24,50,user
sex_x_constellation,sex+constellation,tBalance,0.001228711732309449,weak,24,24,50,user
sex_x_constellation,sex+constellation,yBalance,0.0012301461883415636,weak,24,24,50,user
city_x_constellation,city+constellation,total_purchase_amt,0.019628357234599866,small,84,84,50,user
city_x_constellation,city+constellation,direct_purchase_amt,0.019622951360163086,small,84,84,50,user
city_x_constellation,city+constellation,purchase_bal_amt,0.01746712587713913,small,84,84,50,user
city_x_constellation,city+constellation,purchase_bank_amt,0.016675331418885865,small,84,84,50,user
city_x_constellation,city+constellation,share_amt,0.02311046560486294,small,84,84,50,user
city_x_constellation,city+constellation,total_redeem_amt,0.01788229130039221,small,84,84,50,user
city_x_constellation,city+constellation,consume_amt,0.01893064468535532,small,84,84,50,user
city_x_constellation,city+constellation,transfer_amt,0.014250051366648543,small,84,84,50,user
city_x_constellation,city+constellation,tftobal_amt,0.010360991035507873,small,84,84,50,user
city_x_constellation,city+constellation,tftocard_amt,0.013874165282692003,small,84,84,50,user
city_x_constellation,city+constellation,tBalance,0.02056507331695399,small,84,84,50,user
city_x_constellation,city+constellation,yBalance,0.02060471064120318,small,84,84,50,user
sex_x_city_x_constellation,sex+city+constellation,total_purchase_amt,0.023446688226371453,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,direct_purchase_amt,0.02343539117571281,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,purchase_bal_amt,0.021653593235600174,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,purchase_bank_amt,0.019902501283641637,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,share_amt,0.02668812833039184,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,total_redeem_amt,0.021851574993334594,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,consume_amt,0.022884230025099466,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,transfer_amt,0.018252635345600433,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,tftobal_amt,0.013909384325610948,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,tftocard_amt,0.017411246277229033,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,tBalance,0.024535993537164496,small,168,168,50,user
sex_x_city_x_constellation,sex+city+constellation,yBalance,0.024585118782530436,small,168,168,50,user
