feature,feature_value,target,users,amount_mean,amount_median,amount_p90,active_day_rate_mean,positive_day_amount_mean,positive_day_amount_median
sex,0,total_purchase_amt,13552,12371.144892460781,34.315459147444855,30229.788380281683,0.2814164177170971,25251.176875939218,609.3343965975545
sex,1,total_purchase_amt,14489,13204.398067598675,30.406417112299465,30239.2198231814,0.264844252327921,26699.023275910607,605.0
sex,0,direct_purchase_amt,13552,12285.266942661792,33.908681877186424,29985.032495189545,0.024666750346000004,250953.00895370942,4497.25
sex,1,direct_purchase_amt,14489,13115.569125713906,30.406417112299465,30082.20807104317,0.025301679375817773,259774.08068632823,3427.0
sex,0,purchase_bal_amt,13552,3692.103776067935,0.0,3081.4723076923065,0.010603324646268945,143677.31828956856,0.0
sex,1,purchase_bal_amt,14489,4551.7531874018,0.0,3592.3454483294536,0.011265106930173548,157236.83626685978,0.0
sex,0,purchase_bank_amt,13552,8593.163166593857,0.0,20333.89187007235,0.015214503819694815,209662.451600297,0.0
sex,1,purchase_bank_amt,14489,8563.815938312107,0.0,19556.798630301575,0.01529213656012054,219057.19852312907,0.0
sex,0,share_amt,13552,85.87794979899039,0.0,186.0328203541875,0.27326340601305693,101.58026678778592,0.0
sex,1,share_amt,14489,88.82894188476789,0.0,173.28515406162472,0.2553928012122657,107.49499537369917,0.0
sex,0,total_redeem_amt,13552,8915.967141755586,3.305794155574498,18232.011285897188,0.03196418192457141,184629.62077843706,422.5
sex,1,total_redeem_amt,14489,9783.00073890604,4.885245901639344,19648.04350242125,0.03316483775688569,190297.05187970345,600.0
sex,0,consume_amt,13552,1555.5522408736342,0.0,3124.858461538461,0.023291601644998258,33093.540843156945,0.0
sex,1,consume_amt,14489,1730.9710824796207,0.0,2942.064000000003,0.022939000826402843,34141.125162870376,0.0
sex,0,transfer_amt,13552,7360.414900881952,0.0,12653.124149162802,0.010009198552222433,305074.00684069865,0.0
sex,1,transfer_amt,14489,8052.029656426419,0.0,13872.276911420311,0.011726231797101312,297450.6924448652,0.0
sex,0,tftobal_amt,13552,1141.762091819535,0.0,746.2715020536637,0.0033184141308632573,72048.49481803746,0.0
sex,1,tftobal_amt,14489,1598.3122598128155,0.0,1206.5781982942437,0.0044083169412109345,80573.50183307298,0.0
sex,0,tftocard_amt,13552,6218.652809062417,0.0,8753.430127659567,0.006918786136476255,314945.9350460837,0.0
sex,1,tftocard_amt,14489,6453.717396613603,0.0,9405.50914342925,0.007631316825237291,308277.1409004882,0.0
sex,0,tBalance,13552,667800.4130229744,117.83042977895948,1462364.637725994,0.40710909401149237,752448.2020366288,339.5851063829787
sex,1,tBalance,14489,689240.822507854,99.0,1369566.6047837578,0.403403965625198,798104.9920796126,233.43055555555554
sex,0,yBalance,13552,664345.2352722692,114.26965811965812,1454749.8608129565,0.4038503894079852,751907.2326408693,325.42623255813953
sex,1,yBalance,14489,685819.4251953247,95.77272727272727,1363102.9724819278,0.39971141194715765,797720.8227277499,210.94252873563218
