left,right,spearman,abs_spearman
mfd_daily_yield,mfd_7daily_yield,0.9699300665387265,0.9699300665387265
Interest_6_M,Interest_9_M,0.9603541897864919,0.9603541897864919
Interest_9_M,Interest_1_Y,0.8922055532069265,0.8922055532069265
Interest_1_W,Interest_2_W,0.8821085564040854,0.8821085564040854
Interest_6_M,Interest_1_Y,0.8623682595969833,0.8623682595969833
Interest_3_M,Interest_6_M,0.8334447752801686,0.8334447752801686
Interest_2_W,Interest_1_M,0.8108729295089641,0.8108729295089641
Interest_3_M,Interest_9_M,0.7989168872247493,0.7989168872247493
Interest_O_N,Interest_1_W,0.7926650751075607,0.7926650751075607
Interest_1_W,Interest_1_M,0.7830618742671481,0.7830618742671481
mfd_7daily_yield,Interest_3_M,0.7437839307154912,0.7437839307154912
Interest_3_M,Interest_1_Y,0.7234690849286738,0.7234690849286738
mfd_daily_yield,Interest_3_M,0.7195238951364631,0.7195238951364631
Interest_O_N,Interest_2_W,0.7172367540274517,0.7172367540274517
Interest_O_N,Interest_1_M,0.6449842694334987,0.6449842694334987
Interest_O_N,Interest_9_M,-0.6397614445705454,0.6397614445705454
Interest_O_N,Interest_6_M,-0.5932415647846394,0.5932415647846394
Interest_O_N,Interest_1_Y,-0.4735469130430789,0.4735469130430789
mfd_daily_yield,Interest_1_M,0.44465836234699946,0.44465836234699946
mfd_7daily_yield,Interest_6_M,0.4309684528391731,0.4309684528391731
mfd_7daily_yield,Interest_1_M,0.42958820814060605,0.42958820814060605
Interest_1_W,Interest_9_M,-0.4055223218410078,0.4055223218410078
mfd_daily_yield,Interest_6_M,0.4043266645691164,0.4043266645691164
Interest_1_M,Interest_9_M,-0.3877033287293948,0.3877033287293948
mfd_7daily_yield,Interest_9_M,0.36419848026622026,0.36419848026622026
Interest_2_W,Interest_9_M,-0.35317093671011984,0.35317093671011984
Interest_1_W,Interest_6_M,-0.3499127256560569,0.3499127256560569
mfd_daily_yield,Interest_9_M,0.3354926058764171,0.3354926058764171
Interest_1_W,Interest_1_Y,-0.31806468103979446,0.31806468103979446
mfd_daily_yield,Interest_1_W,0.31566731368185547,0.31566731368185547
Interest_1_M,Interest_1_Y,-0.3067865025232932,0.3067865025232932
Interest_1_M,Interest_6_M,-0.30349866693474536,0.30349866693474536
mfd_7daily_yield,Interest_1_W,0.29718915602757445,0.29718915602757445
Interest_2_W,Interest_6_M,-0.2822677667246309,0.2822677667246309
mfd_daily_yield,Interest_2_W,0.2643252024283449,0.2643252024283449
Interest_2_W,Interest_1_Y,-0.25151046920173914,0.25151046920173914
mfd_7daily_yield,Interest_2_W,0.24734816268917229,0.24734816268917229
Interest_O_N,Interest_3_M,-0.23228934598134862,0.23228934598134862
mfd_7daily_yield,Interest_1_Y,0.21228813543958439,0.21228813543958439
mfd_daily_yield,Interest_1_Y,0.19880094920790817,0.19880094920790817
Interest_1_M,Interest_3_M,0.12021618338860131,0.12021618338860131
Interest_2_W,Interest_3_M,0.08702217497163031,0.08702217497163031
Interest_1_W,Interest_3_M,0.0670457486410487,0.0670457486410487
mfd_7daily_yield,Interest_O_N,-0.02172350122219648,0.02172350122219648
mfd_daily_yield,Interest_O_N,-0.0033624613330185873,0.0033624613330185873
