left,right,relationship_type,daily_spearman,daily_log_pearson,user_spearman,prediction_use,max_abs_correlation
total_purchase_amt,direct_purchase_amt,mechanical_component_relationship,0.999973180588048,0.9999844126294536,0.9999271148284977,descriptive_only_same_day; use lagged form for forecasting,0.9999844126294536
tBalance,yBalance,balance_behavior_relationship,0.9992311768573753,0.9999332369504303,0.9991196890229238,descriptive_only_same_day; use lagged form for forecasting,0.9999332369504303
share_amt,tBalance,balance_behavior_relationship,0.923113832373743,0.9950262476735839,0.9523523046509614,descriptive_only_same_day; use lagged form for forecasting,0.9950262476735839
total_redeem_amt,transfer_amt,mechanical_component_relationship,0.9925039743594091,0.9948972608363006,0.8930735637676684,descriptive_only_same_day; use lagged form for forecasting,0.9948972608363006
share_amt,yBalance,balance_behavior_relationship,0.9203967485008102,0.9948325768077764,0.9531273028632884,descriptive_only_same_day; use lagged form for forecasting,0.9948325768077764
transfer_amt,tftocard_amt,mechanical_component_relationship,0.9887524644744226,0.7579714992980133,0.8828409991796001,descriptive_only_same_day; use lagged form for forecasting,0.9887524644744226
total_redeem_amt,tftocard_amt,behavioral_flow_relationship,0.9845804701934744,0.7757497036279535,0.795256181994707,descriptive_only_same_day; use lagged form for forecasting,0.9845804701934744
total_purchase_amt,purchase_bank_amt,behavioral_flow_relationship,0.9690844623432335,0.9644007931666492,0.9160462295239086,descriptive_only_same_day; use lagged form for forecasting,0.9690844623432335
direct_purchase_amt,purchase_bank_amt,mechanical_component_relationship,0.9686602840576476,0.9636766034204384,0.9161352004471228,descriptive_only_same_day; use lagged form for forecasting,0.9686602840576476
total_purchase_amt,tBalance,balance_behavior_relationship,0.7064487430173195,0.8474029666762104,0.9674389922097231,descriptive_only_same_day; use lagged form for forecasting,0.9674389922097231
direct_purchase_amt,tBalance,balance_behavior_relationship,0.7039553083785385,0.8447577636312155,0.9670862974618775,descriptive_only_same_day; use lagged form for forecasting,0.9670862974618775
total_purchase_amt,yBalance,balance_behavior_relationship,0.7009347335738038,0.8434895305772118,0.9658957569205977,descriptive_only_same_day; use lagged form for forecasting,0.9658957569205977
direct_purchase_amt,yBalance,balance_behavior_relationship,0.6984252689416721,0.8408259849534158,0.9655410206384025,descriptive_only_same_day; use lagged form for forecasting,0.9655410206384025
