report_date,observed_users,opening_balance_amt,closing_balance_amt,direct_inflow_amt,balance_purchase_inflow_amt,bankcard_purchase_inflow_amt,profit_share_inflow_amt,total_inflow_amt,total_outflow_amt,transfer_outflow_amt,consume_outflow_amt,transfer_to_balance_amt,transfer_to_card_amt,direct_inflow_users,profit_share_users,total_outflow_users,transfer_outflow_users,net_flow_amt,profit_share_per_10000_opening_balance,direct_inflow_share,bankcard_direct_inflow_share,transfer_outflow_share,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,is_shibor_observed,days_since_observation
2013-07-01,441,225364535,252327861,32458786,21250722,11208064,29562,32488348,5525022,5142862,382160,5142862,0,84,272,43,22,26963326,1.311741441482796,0.9990900737704485,0.3453013923564486,0.9308310446546638,1.5787,6.307,4.456,5.423,6.04,6.88,5.295,4.239,4.282,4.4125,True,0
2013-07-02,480,252327861,278810703,29007510,16561183,12446327,29880,29037390,2554548,2204482,350066,2204482,0,79,284,34,13,26482842,1.184173633525154,0.9989709818961001,0.42907257465394305,0.8629636240931859,1.5461,6.174,3.786,4.75,5.074,5.8,5.211,4.2344,4.2808,4.407,True,0
2013-07-03,499,278810703,300127606,27234156,20493660,6740496,36614,27270770,5953867,5499461,454406,5499461,0,82,333,32,11,21316903,1.313220748200617,0.9986573903120447,0.2475015565013287,0.9236788460340145,1.467,6.034,3.4,4.242,4.658,5.2,5.148,4.23,4.2796,4.4022,True,0
2013-07-04,523,300127606,312038062,18282230,12108178,6174052,38955,18321185,6410729,5875338,535391,5875338,0,90,361,48,23,11910456,1.2979479135284875,0.9978737729027899,0.3377078179193676,0.9164851610479869,1.4223,5.903,3.348,3.938,4.464,5.102,5.029,4.2287,4.2776,4.4,True,0
2013-07-05,544,312038062,320923224,11607991,6930431,4677560,40758,11648749,2763587,2065661,697926,2065661,0,74,382,39,14,8885162,1.30618680742864,0.996501083506907,0.40296033999337183,0.747456475949554,1.3845,5.739,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,True,0
2013-07-06,553,320923224,356057861,36709190,31533483,5175707,42082,36751272,1616635,1316102,300533,1316102,0,55,401,30,12,35134637,1.311279360698433,0.9988549511973355,0.14099213303262753,0.8140996576221596,1.3674,5.582,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,False,1
2013-07-07,566,356057861,361037358,8920335,5257768,3662567,41897,8962232,3982735,3645855,336880,3645855,0,58,400,43,18,4979497,1.1766907738627346,0.9953251600717321,0.41058626161461426,0.9154149096035764,1.3671,5.425,3.38,3.816,4.295,4.7885,4.939,4.2273,4.2749,4.4,False,2
2013-07-08,580,361037358,409947895,57218409,47490938,9727471,39857,57258266,8347729,7495199,852530,7495199,0,78,395,54,19,48910537,1.1039577793498034,0.9993039083649512,0.17000596783458274,0.8978728226563176,1.3129,5.279,3.256,3.656,3.686,4.3,4.794,4.2238,4.2741,4.4,True,0
2013-07-09,614,409947895,433273777,26755943,21541164,5214779,42998,26798941,3473059,2707550,765509,2707550,0,86,416,56,26,23325882,1.0488650027096735,0.9983955336145559,0.1949017083793309,0.7795865258839542,1.3096,5.15,3.249,3.596,3.604,4.298,4.723,4.2215,4.272,4.4,True,0
2013-07-10,619,433273777,461373114,30644691,20475437,10169254,51815,30696506,2597169,1993432,603737,1993432,0,84,453,50,21,28099337,1.1958951302977194,0.9983120228732221,0.3318439073182366,0.7675403487412641,1.2792,5.047,3.251,3.59,3.85,4.269,4.704,4.22,4.2707,4.4,True,0
