rate_feature,flow_target,spearman_level,pearson_log_level,same_day_diff1_corr,same_day_diff7_corr,lag1_level_spearman,lagged_diff1_corr,days,same_day_use,prediction_rule,abs_same_day_diff1,abs_lagged_diff1
mfd_daily_yield,profit_share_inflow_amt,0.24681923841141956,0.21467077127659737,0.7124916519815053,0.2584949411792757,0.25193906112793163,-0.30658242115366413,427,descriptive_only,use lagged/published values only,0.7124916519815053,0.30658242115366413
mfd_daily_yield,profit_share_per_10000_opening_balance,0.9672678072943407,0.9733680038384707,0.8035846801611134,0.9053407207346699,0.9256772074511228,-0.2966116861312361,427,descriptive_only,use lagged/published values only,0.8035846801611134,0.2966116861312361
mfd_7daily_yield,profit_share_inflow_amt,0.24889629628137386,0.19604134162351725,0.1038395104451327,0.023837769491505227,0.25693601901060703,-0.23317268648868655,427,descriptive_only,use lagged/published values only,0.1038395104451327,0.23317268648868655
mfd_7daily_yield,profit_share_per_10000_opening_balance,0.93144216747252,0.9437368118568278,0.24268169765423261,0.5789103525977917,0.9183406477761209,-0.16299308368500917,427,descriptive_only,use lagged/published values only,0.24268169765423261,0.16299308368500917
Interest_2_W,profit_share_inflow_amt,-0.37418476261938627,-0.18648129680002956,0.04110643465280731,-0.1375237865148688,-0.37141126607511066,-0.14924830794502475,427,descriptive_only,use lagged/published values only,0.04110643465280731,0.14924830794502475
Interest_1_M,profit_share_inflow_amt,-0.3982265362548746,-0.19224071156025374,-0.03044375255772257,-0.10931296526815065,-0.39489139203138196,-0.12479221606286361,427,descriptive_only,use lagged/published values only,0.03044375255772257,0.12479221606286361
Interest_2_W,profit_share_per_10000_opening_balance,0.22163368290940502,0.2817681220914337,0.08956792759223384,0.019171987303788458,0.2286277111281677,-0.1111977306967556,427,descriptive_only,use lagged/published values only,0.08956792759223384,0.1111977306967556
Interest_1_W,profit_share_inflow_amt,-0.470131798327438,-0.22465424441978202,0.010020604636462968,-0.1619491065551166,-0.4647912100669609,-0.10182693065336518,427,descriptive_only,use lagged/published values only,0.010020604636462968,0.10182693065336518
Interest_3_M,profit_share_inflow_amt,0.7001619277947521,0.5604347445300478,-0.010344940474853667,0.03069342749019442,0.7071170649655447,-0.09532048365418543,427,descriptive_only,use lagged/published values only,0.010344940474853667,0.09532048365418543
Interest_1_Y,total_outflow_amt,0.767239889405735,0.8156079534682243,0.05497271095829615,0.004308147194586523,0.771534982933234,-0.07544348443615426,427,descriptive_only,use lagged/published values only,0.05497271095829615,0.07544348443615426
Interest_1_Y,transfer_outflow_amt,0.7583703331448676,0.7982678799875571,0.05371482820313073,0.000928544193832138,0.7614009501976616,-0.07499833299405774,427,descriptive_only,use lagged/published values only,0.05371482820313073,0.07499833299405774
Interest_1_M,profit_share_per_10000_opening_balance,0.38987126300258923,0.46433176669214893,0.03227822421143829,0.005696132183501351,0.3960252395093262,-0.07487288779446911,427,descriptive_only,use lagged/published values only,0.03227822421143829,0.07487288779446911
mfd_daily_yield,total_outflow_amt,0.05598417838438626,0.13543975224504365,0.13973149141844152,0.13168696836074426,0.04640723523959824,-0.07273363336550447,427,descriptive_only,use lagged/published values only,0.13973149141844152,0.07273363336550447
Interest_9_M,profit_share_per_10000_opening_balance,0.42587430346368926,0.3431905984954265,0.07774380452630193,0.32147823191374586,0.41981672941852727,0.06659213294418576,427,descriptive_only,use lagged/published values only,0.07774380452630193,0.06659213294418576
Interest_6_M,profit_share_per_10000_opening_balance,0.49881023416553777,0.37837729392987196,0.08860308446614568,0.341178379594503,0.49152341007026007,0.06600174545109247,427,descriptive_only,use lagged/published values only,0.08860308446614568,0.06600174545109247
Interest_O_N,profit_share_inflow_amt,-0.6451120904769954,-0.3959424404935447,-0.07116032513007019,-0.1966231835163789,-0.6411474146567712,-0.0645343692978358,427,descriptive_only,use lagged/published values only,0.07116032513007019,0.0645343692978358
Interest_6_M,profit_share_inflow_amt,0.9397682302448906,0.909850562140957,0.08866919023077457,0.2147631064089383,0.9408802050410822,0.06240741779158725,427,descriptive_only,use lagged/published values only,0.08866919023077457,0.06240741779158725
Interest_1_Y,profit_share_per_10000_opening_balance,0.3029398006893032,0.31373206451706737,0.08506469331043454,0.3437518533079601,0.297429514108936,0.06226276609123334,427,descriptive_only,use lagged/published values only,0.08506469331043454,0.06226276609123334
Interest_9_M,transfer_outflow_amt,0.7447721006327291,0.796986449678809,0.0538746285305417,0.002357512647565242,0.7451479267926782,-0.06102754770312519,427,descriptive_only,use lagged/published values only,0.0538746285305417,0.06102754770312519
Interest_9_M,profit_share_inflow_amt,0.9142125326794976,0.9098107849209239,0.07442108439407831,0.18724041078776746,0.9156977481046553,0.06095505465564309,427,descriptive_only,use lagged/published values only,0.07442108439407831,0.06095505465564309
Interest_9_M,total_outflow_amt,0.7422652639974574,0.8133159191904964,0.05376137034945078,0.005828494727802876,0.7428896959519088,-0.060655055168035044,427,descriptive_only,use lagged/published values only,0.05376137034945078,0.060655055168035044
Interest_6_M,total_outflow_amt,0.7554852495286195,0.8086497450138201,0.051027889451620505,0.002839320605526044,0.7548378114210103,-0.058930503781352506,427,descriptive_only,use lagged/published values only,0.051027889451620505,0.058930503781352506
Interest_6_M,transfer_outflow_amt,0.7586040911493028,0.7932585895585499,0.05144928578710628,0.0011224879900605933,0.7565825409229542,-0.05805139310040437,427,descriptive_only,use lagged/published values only,0.05144928578710628,0.05805139310040437
