window_id,k,inertia_per_user,calinski_harabasz,davies_bouldin,algorithmic_stability_ari,smallest_cluster_share,eligible_users,rank_ch,rank_db,rank_stability,rank_min_share,selection_rank_sum,selected
rolling_2014_03,3,4.37544464986451,3567.2053386470657,1.2618724428365689,0.9836120332863006,0.16139828932688732,8067,1.0,5.0,2.0,1.0,9.0,False
rolling_2014_03,4,3.7103583128182587,3285.8407033307312,1.1730326796717703,1.0,0.13710177265402257,8067,2.0,1.0,1.0,2.0,6.0,True
rolling_2014_03,5,3.2002576441956814,3178.0905690184636,1.3158483865682846,0.8316121108239051,0.07970745010536755,8067,3.0,6.0,4.0,3.0,16.0,False
rolling_2014_03,6,2.8412307316355117,3067.1148077399043,1.2542160026250337,0.5199993282657187,0.05565885707202182,8067,4.0,4.0,6.0,4.0,18.0,False
rolling_2014_03,7,2.543008615152136,3012.8466047492457,1.207509576395498,0.6364394199268029,0.05231188793851494,8067,5.0,3.0,5.0,5.0,18.0,False
rolling_2014_03,8,2.305781017434332,2966.2266020631105,1.1790341352475733,0.8853528503521526,0.0448741787529441,8067,6.0,2.0,3.0,6.0,17.0,False
rolling_2014_04,3,4.699449984213987,4319.276983629226,1.1936861513669728,0.9970487237068092,0.1837837837837838,9990,1.0,3.0,1.0,1.0,6.0,True
rolling_2014_04,4,3.9726493366121556,4014.9712520044495,1.160644287553849,0.40485332587121486,0.15815815815815815,9990,2.0,1.0,6.0,2.0,11.0,False
rolling_2014_04,5,3.4163889468403243,3907.6117894414015,1.2988031934518327,0.981221891910797,0.1013013013013013,9990,3.0,5.0,2.0,3.0,13.0,False
rolling_2014_04,6,3.0755231167186414,3693.5208226832938,1.340717917531628,0.6186866608122781,0.05755755755755756,9990,4.0,6.0,5.0,4.0,19.0,False
rolling_2014_04,7,2.7449399848892475,3648.656937284035,1.2415899034714688,0.6802211371131226,0.04604604604604605,9990,5.0,4.0,4.0,5.0,18.0,False
rolling_2014_04,8,2.4946678918366207,3583.8874417928487,1.1820432586439413,0.7706597480588324,0.043043043043043044,9990,6.0,2.0,3.0,6.0,17.0,False
rolling_2014_05,3,5.216069364035681,4541.035960629433,1.22737220721756,0.9985611369013228,0.18800071212390956,11234,2.0,5.0,2.0,1.0,10.0,False
rolling_2014_05,4,4.248029531996781,4569.929497397964,1.2229804759558236,0.9994654047621848,0.15915969378671888,11234,1.0,4.0,1.0,2.0,8.0,True
rolling_2014_05,5,3.7282921447823276,4296.238663268307,1.3166914426652077,0.6451908933591212,0.07468399501513263,11234,3.0,6.0,4.0,3.0,16.0,False
rolling_2014_05,6,3.26609480711389,4240.806310263701,1.1846549811650346,0.6952067021391396,0.07450596403774257,11234,4.0,2.0,3.0,4.0,13.0,False
rolling_2014_05,7,2.936282123164385,4140.78150962276,1.1965295169893675,0.6099133071355735,0.05625778885526082,11234,6.0,3.0,6.0,5.0,20.0,False
rolling_2014_05,8,2.6332800444944193,4141.820877478573,1.1305159228296238,0.63941908766808,0.045575930211856866,11234,5.0,1.0,5.0,6.0,17.0,False
rolling_2014_06,3,5.640124498270532,4632.492710987535,1.248374783401423,0.3548516874891424,0.22025,12000,6.0,5.0,6.0,1.0,18.0,False
rolling_2014_06,4,4.582029980273446,4724.559321515301,1.268052315807274,0.4669659215717188,0.14275,12000,4.0,6.0,5.0,2.0,17.0,False
rolling_2014_06,5,3.7659060505101123,4960.838711640065,1.0487703000284787,0.5875037736919314,0.13491666666666666,12000,1.0,1.0,4.0,3.0,9.0,True
rolling_2014_06,6,3.2687966731229348,4936.636816123973,1.1621243345384629,0.9984298646153084,0.06308333333333334,12000,2.0,4.0,1.0,4.0,11.0,False
rolling_2014_06,7,2.9334874211482216,4812.187375630128,1.1342812841746202,0.6564302371765599,0.049833333333333334,12000,3.0,3.0,2.0,5.0,13.0,False
rolling_2014_06,8,2.683420576781977,4668.38518391731,1.111689809953119,0.6532525102570803,0.04675,12000,5.0,2.0,3.0,6.0,16.0,False
rolling_2014_07,3,5.413996912149937,5335.155422288192,1.1077083020424456,0.32202644302524924,0.17619426751592357,12560,6.0,4.0,6.0,1.0,17.0,False
rolling_2014_07,4,4.219529955601086,5748.045974500144,1.0856480901158123,0.4561716866221912,0.16106687898089173,12560,3.0,2.0,5.0,2.0,12.0,False
rolling_2014_07,5,3.4124566701950823,6072.543524002263,1.0061331935838687,0.9996215837985268,0.1303343949044586,12560,1.0,1.0,1.0,3.0,6.0,True
rolling_2014_07,6,2.981945991893337,5921.448331081989,1.1370204149766237,0.6876328249477321,0.05995222929936306,12560,2.0,5.0,4.0,4.0,15.0,False
rolling_2014_07,7,2.7223037777371872,5604.288327006672,1.0906850723103951,0.7295760526541757,0.039410828025477705,12560,4.0,3.0,2.0,5.0,14.0,False
