method,previous_window,current_window,common_users,adjusted_rand_index,unchanged_label_share
manual,rolling_2014_03,rolling_2014_04,17336,0.42207903548597536,0.5651822796492847
manual,rolling_2014_04,rolling_2014_05,19897,0.6225877207580655,0.713775946122531
manual,rolling_2014_05,rolling_2014_06,21978,0.6805731027050578,0.7517972517972518
manual,rolling_2014_06,rolling_2014_07,23624,0.7228057001657614,0.7679478496444294
manual,rolling_2014_07,holdout_2014_08,25004,0.7417015363139737,0.7794352903535434
automatic,rolling_2014_03,rolling_2014_04,17336,0.49940995471224886,0.42305029995385324
automatic,rolling_2014_04,rolling_2014_05,19897,0.607708383286876,0.4296627632306378
automatic,rolling_2014_05,rolling_2014_06,21978,0.6894091305232002,0.44412594412594414
automatic,rolling_2014_06,rolling_2014_07,23624,0.7209959056999077,0.5314933965458856
automatic,rolling_2014_07,holdout_2014_08,25004,0.6857028413820335,0.4646456566949288
hybrid,rolling_2014_03,rolling_2014_04,17336,0.3946866744472847,0.29158975542224275
hybrid,rolling_2014_04,rolling_2014_05,19897,0.579896245810392,0.4040810172387797
hybrid,rolling_2014_05,rolling_2014_06,21978,0.6410015182658373,0.42792792792792794
hybrid,rolling_2014_06,rolling_2014_07,23624,0.6947582218878484,0.5064341347781917
hybrid,rolling_2014_07,holdout_2014_08,25004,0.6724262942517731,0.46312589985602304
